User_ID,Home_Latitude,Home_Longitude,Registered_Device_ID,Avg_Transaction_Amount,Max_Transaction_Amount,Risk_Category,Account_Creation_Date,KYC_Status,Daily_Transaction_Limit,Usual_Login_Time_Start,Usual_Login_Time_End,Avg_Transactions_Per_Day,Registered_City,SIM_Registered,Account_Status,Last_Device_Change_Date,Linked_Bank_Count
USER_1,33.891233,74.819988,HSMGA0QN44,4940,18777,Low,2021-12-03,Min,46874,10:00,21:00,1,Hyderabad,Yes,Dormant,2024-08-11,4
USER_2,14.61406,86.416447,S5W9OCXCCG,3988,16629,Low,2023-06-14,Min,165485,9:00,18:00,8,Kolkata,No,Dormant,2023-09-18,4
USER_3,22.207434,84.971577,EXVDP4KNCP,1383,41613,Low,2021-03-18,Full,164159,9:00,22:00,17,Delhi,No,Dormant,2022-12-16,4
USER_4,18.731695,77.22646,OGZIH4LNJS,1513,14734,Low,2021-07-10,Full,161468,9:00,18:00,10,Delhi,No,Dormant,2023-10-02,1
USER_5,19.83423,87.43253,R77DMLXSR9,3323,10189,Low,2025-11-15,Full,83070,9:00,19:00,10,Kolkata,No,Active,2027-05-12,1
USER_6,27.167599,80.598937,07MYEM8UYM,648,40107,Low,2022-05-27,Min,150833,9:00,23:00,11,Mumbai,No,Active,2024-03-23,3
USER_7,27.221479,88.454094,AWQ4OTGHJE,4622,8161,Low,2023-06-01,Min,68413,6:00,21:00,1,Hyderabad,Yes,Active,2024-05-03,4
USER_8,30.682307,80.115208,UQSH6BRJZH,1646,38097,Low,2024-11-02,Pending,146385,9:00,20:00,12,Kolkata,Yes,Active,2026-09-03,1
USER_9,29.372768,68.175682,GF8Z0XJSDF,1290,15664,High,2023-03-19,Full,80129,6:00,20:00,6,Chennai,No,Dormant,2025-04-25,3
USER_10,20.819685,69.255391,0C83QXF8UJ,2579,27435,High,2021-09-04,Pending,166380,8:00,22:00,7,Mumbai,No,Dormant,2022-01-17,3
USER_11,29.488142,79.519282,YPD7ID4M4R,2142,39377,Medium,2021-06-24,Full,86155,8:00,19:00,9,Hyderabad,Yes,Active,2021-11-29,5
USER_12,15.12387,70.309018,YRLWOL9ZDQ,2138,19381,Medium,2021-03-12,Full,18613,10:00,18:00,18,Hyderabad,No,Dormant,2021-08-29,5
USER_13,31.629824,80.664884,J9ATA6WMZG,3658,5148,High,2024-04-24,Pending,147166,8:00,22:00,12,Delhi,Yes,Dormant,2024-06-05,4
USER_14,8.354486,78.22468,VEPZI9TE2U,4805,25042,Low,2025-04-12,Full,42018,9:00,21:00,5,Hyderabad,Yes,Dormant,2027-08-02,5
USER_15,28.856618,78.06286,D7N3P6SVOY,1161,19335,Medium,2025-12-19,Pending,166255,7:00,19:00,19,Mumbai,No,Active,2028-07-05,5
USER_16,17.826178,77.671793,AFP687Y8U3,4750,32608,High,2022-08-12,Pending,14981,9:00,18:00,7,Bangalore,No,Active,2022-10-30,1
USER_17,22.420448,83.919054,FPSKWQVE4F,1196,48639,Low,2021-10-07,Full,159596,8:00,22:00,5,Chennai,Yes,Active,2023-04-26,4
USER_18,23.104177,72.675786,EXNSHYRI32,3824,40443,Low,2023-09-06,Min,92612,6:00,23:00,17,Bangalore,Yes,Dormant,2025-07-23,3
